NumExpr defaulting to 4 threads.
*********************
GoldenCross Strategie
*********************
2013-09-12 BUY  266 mit Preis: 16.881786346435547
2015-08-26 SELL 266 mit Preis: 27.422500610351562
2016-09-02 BUY  259 mit Preis: 26.9325008392334
2018-12-20 SELL 259 mit Preis: 39.20750045776367
2019-05-07 BUY  187 mit Preis: 50.71500015258789
***************************
BuyAndHoldMonthly Strategie
***************************
2010-01-15 BUY  <bound method Lines.size of <backtrader.lineseries.Lines_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_BuyAndHoldMonthly object at 0x7febd8167940>> mit Preis: 7.354642868041992
2010-02-16 BUY  645 mit Preis: 7.264286041259766
2010-03-15 BUY  79 mit Preis: 7.994286060333252
2010-04-15 BUY  61 mit Preis: 8.890000343322754
2010-05-17 BUY  55 mit Preis: 9.079285621643066
2010-06-15 BUY  54 mit Preis: 9.274642944335938
2010-07-15 BUY  52 mit Preis: 8.98035717010498
2010-08-16 BUY  55 mit Preis: 8.84428596496582
2010-09-15 BUY  55 mit Preis: 9.650713920593262
2010-10-15 BUY  50 mit Preis: 11.240714073181152
2010-11-15 BUY  43 mit Preis: 10.965714454650879
2010-12-15 BUY  45 mit Preis: 11.441429138183594
2011-01-18 BUY  43 mit Preis: 12.166070938110352
2011-02-15 BUY  40 mit Preis: 12.853570938110352
2011-03-15 BUY  37 mit Preis: 12.336786270141602
2011-04-15 BUY  40 mit Preis: 11.694999694824219
2011-05-16 BUY  42 mit Preis: 11.903571128845215
2011-06-15 BUY  42 mit Preis: 11.66964340209961
2011-07-15 BUY  42 mit Preis: 13.032856941223145
2011-08-15 BUY  37 mit Preis: 13.693214416503906
2011-09-15 BUY  36 mit Preis: 14.034285545349121
2011-10-17 BUY  35 mit Preis: 14.999643325805664
2011-11-15 BUY  32 mit Preis: 13.886786460876465
2011-12-15 BUY  36 mit Preis: 13.533571243286133
2012-01-17 BUY  36 mit Preis: 15.16785717010498
2012-02-15 BUY  32 mit Preis: 17.773929595947266
2012-03-15 BUY  27 mit Preis: 20.912857055664062
2012-04-16 BUY  24 mit Preis: 20.718929290771484
2012-05-15 BUY  24 mit Preis: 19.756071090698242
2012-06-15 BUY  25 mit Preis: 20.504642486572266
2012-07-16 BUY  23 mit Preis: 21.675357818603516
2012-08-15 BUY  23 mit Preis: 22.52964210510254
2012-09-17 BUY  22 mit Preis: 24.992143630981445
2012-10-15 BUY  19 mit Preis: 22.670000076293945
2012-11-15 BUY  22 mit Preis: 18.77214241027832
2012-12-17 BUY  26 mit Preis: 18.52964210510254
2013-01-15 BUY  27 mit Preis: 17.354286193847656
2013-02-15 BUY  28 mit Preis: 16.43428611755371
2013-03-15 BUY  29 mit Preis: 15.845000267028809
2013-04-15 BUY  31 mit Preis: 14.994643211364746
2013-05-15 BUY  33 mit Preis: 15.316070556640625
2013-06-17 BUY  32 mit Preis: 15.428570747375488
2013-07-15 BUY  32 mit Preis: 15.265713691711426
2013-08-15 BUY  32 mit Preis: 17.782499313354492
2013-09-16 BUY  27 mit Preis: 16.075714111328125
2013-10-15 BUY  31 mit Preis: 17.809999465942383
2013-11-15 BUY  28 mit Preis: 18.749643325805664
2013-12-16 BUY  26 mit Preis: 19.91071319580078
2014-01-15 BUY  24 mit Preis: 19.90571403503418
2014-02-18 BUY  25 mit Preis: 19.499643325805664
2014-03-17 BUY  25 mit Preis: 18.812143325805664
2014-04-15 BUY  26 mit Preis: 18.498571395874023
2014-05-15 BUY  27 mit Preis: 21.029285430908203
2014-06-16 BUY  23 mit Preis: 23.049999237060547
2014-07-15 BUY  21 mit Preis: 23.829999923706055
2014-08-15 BUY  21 mit Preis: 24.4950008392334
2014-09-15 BUY  19 mit Preis: 25.407499313354492
2014-10-15 BUY  20 mit Preis: 24.385000228881836
2014-11-17 BUY  20 mit Preis: 28.497499465942383
2014-12-15 BUY  18 mit Preis: 27.0575008392334
2015-01-15 BUY  18 mit Preis: 26.704999923706055
2015-02-17 BUY  18 mit Preis: 31.957500457763672
2015-03-16 BUY  16 mit Preis: 31.237499237060547
2015-04-15 BUY  15 mit Preis: 31.69499969482422
2015-05-15 BUY  16 mit Preis: 32.192501068115234
2015-06-15 BUY  15 mit Preis: 31.729999542236328
2015-07-15 BUY  15 mit Preis: 31.704999923706055
2015-08-17 BUY  16 mit Preis: 29.290000915527344
2015-09-15 BUY  16 mit Preis: 29.06999969482422
2015-10-15 BUY  17 mit Preis: 27.96500015258789
2015-11-16 BUY  18 mit Preis: 28.545000076293945
2015-12-15 BUY  17 mit Preis: 27.622499465942383
2016-01-15 BUY  18 mit Preis: 24.282499313354492
2016-02-16 BUY  20 mit Preis: 24.15999984741211
2016-03-15 BUY  20 mit Preis: 26.145000457763672
2016-04-15 BUY  19 mit Preis: 27.462499618530273
2016-05-16 BUY  18 mit Preis: 23.469999313354492
2016-06-15 BUY  21 mit Preis: 24.28499984741211
2016-07-15 BUY  20 mit Preis: 24.69499969482422
2016-08-15 BUY  20 mit Preis: 27.3700008392334
2016-09-15 BUY  18 mit Preis: 28.892499923706055
2016-10-17 BUY  17 mit Preis: 29.387500762939453
2016-11-15 BUY  16 mit Preis: 26.77750015258789
2016-12-15 BUY  19 mit Preis: 28.954999923706055
2017-01-17 BUY  17 mit Preis: 30.0
2017-02-15 BUY  16 mit Preis: 33.877498626708984
2017-03-15 BUY  14 mit Preis: 35.1150016784668
2017-04-17 BUY  14 mit Preis: 35.45750045776367
2017-05-15 BUY  14 mit Preis: 38.92499923706055
2017-06-15 BUY  13 mit Preis: 36.0724983215332
2017-07-17 BUY  13 mit Preis: 37.38999938964844
2017-08-15 BUY  13 mit Preis: 40.400001525878906
2017-09-15 BUY  12 mit Preis: 39.970001220703125
2017-10-16 BUY  13 mit Preis: 39.970001220703125
2017-11-15 BUY  12 mit Preis: 42.27000045776367
2017-12-15 BUY  11 mit Preis: 43.49250030517578
2018-01-16 BUY  12 mit Preis: 44.04750061035156
2018-02-15 BUY  11 mit Preis: 43.247501373291016
2018-03-15 BUY  11 mit Preis: 44.662498474121094
2018-04-16 BUY  11 mit Preis: 43.95500183105469
2018-05-15 BUY  11 mit Preis: 46.61000061035156
2018-06-15 BUY  11 mit Preis: 47.209999084472656
2018-07-16 BUY  10 mit Preis: 47.727500915527344
2018-08-15 BUY  10 mit Preis: 52.560001373291016
2018-09-17 BUY  10 mit Preis: 54.470001220703125
2018-10-15 BUY  8 mit Preis: 54.34000015258789
2018-11-15 BUY  9 mit Preis: 47.852500915527344
2018-12-17 BUY  11 mit Preis: 40.98500061035156
2019-01-15 BUY  12 mit Preis: 38.26750183105469
2019-02-15 BUY  13 mit Preis: 42.60499954223633
2019-03-15 BUY  11 mit Preis: 46.529998779296875
2019-04-15 BUY  11 mit Preis: 49.807498931884766
2019-05-15 BUY  9 mit Preis: 47.72999954223633
2019-06-17 BUY  11 mit Preis: 48.47249984741211
2019-07-15 BUY  10 mit Preis: 51.3025016784668
2019-08-15 BUY  9 mit Preis: 50.435001373291016
2019-09-16 BUY  10 mit Preis: 54.974998474121094
2019-10-15 BUY  9 mit Preis: 58.83000183105469
2019-11-15 BUY  8 mit Preis: 66.44000244140625
2019-12-16 BUY  8 mit Preis: 69.96499633789062
2020-01-15 BUY  7 mit Preis: 77.83499908447266
2020-02-18 BUY  6 mit Preis: 79.75
2020-03-16 BUY  6 mit Preis: 60.5525016784668
2020-04-15 BUY  8 mit Preis: 71.10749816894531
2020-05-15 BUY  7 mit Preis: 76.92749786376953
2020-06-15 BUY  6 mit Preis: 85.74749755859375
2020-07-15 BUY  6 mit Preis: 97.7249984741211
2020-08-17 BUY  5 mit Preis: 114.60749816894531
2020-09-15 BUY  4 mit Preis: 115.54000091552734
2020-10-15 BUY  4 mit Preis: 120.70999908447266
2020-11-16 BUY  4 mit Preis: 120.30000305175781
2020-12-15 BUY  4 mit Preis: 127.87999725341797
2021-01-15 BUY  4 mit Preis: 127.13999938964844
2021-02-16 BUY  4 mit Preis: 133.19000244140625
2021-03-15 BUY  4 mit Preis: 123.98999786376953
2021-04-15 BUY  4 mit Preis: 134.5
2021-05-17 BUY  3 mit Preis: 126.2699966430664
2021-06-15 BUY  4 mit Preis: 129.63999938964844
2021-07-15 BUY  4 mit Preis: 148.47999572753906
2021-08-16 BUY  3 mit Preis: 151.1199951171875
2021-09-15 BUY  3 mit Preis: 149.02999877929688
2021-10-15 BUY  4 mit Preis: 144.83999633789062
2021-11-15 BUY  3 mit Preis: 150.0
2021-12-15 BUY  3 mit Preis: 179.3000030517578
2010-03-04 BUY  332 mit Preis: 7.525356769561768
2010-06-08 SELL 332 mit Preis: 8.904643058776855
2010-06-11 SELL 332 mit Preis: 9.053929328918457
2010-09-10 BUY  282 mit Preis: 9.407500267028809
2010-09-23 SELL 282 mit Preis: 10.318571090698242
2010-09-27 BUY  263 mit Preis: 10.398571014404297
2011-02-14 SELL 263 mit Preis: 12.82785701751709
2011-04-18 BUY  252 mit Preis: 11.851785659790039
2011-06-09 BUY  123 mit Preis: 11.838929176330566
2011-07-07 BUY  56 mit Preis: 12.757143020629883
2011-12-05 SELL 56 mit Preis: 14.036070823669434
2012-03-16 BUY  158 mit Preis: 20.9132137298584
2012-03-29 SELL 158 mit Preis: 21.78071403503418
2012-04-25 SELL 158 mit Preis: 21.78571319580078
2012-04-30 SELL 158 mit Preis: 20.856428146362305
2012-05-09 BUY  161 mit Preis: 20.327856063842773
2012-06-04 SELL 161 mit Preis: 20.153213500976562
2013-02-13 BUY  190 mit Preis: 16.67892837524414
2013-05-22 BUY  99 mit Preis: 15.762499809265137
2013-05-23 SELL 99 mit Preis: 15.790714263916016
2013-10-01 BUY  173 mit Preis: 17.427143096923828
2013-12-26 SELL 173 mit Preis: 20.139286041259766
2014-02-21 BUY  170 mit Preis: 18.758928298950195
2014-03-25 SELL 170 mit Preis: 19.46392822265625
2014-04-16 BUY  172 mit Preis: 18.53607177734375
2014-08-12 BUY  65 mit Preis: 23.99250030517578
2015-03-20 BUY  24 mit Preis: 31.475000381469727
2015-06-30 BUY  12 mit Preis: 31.357500076293945
2015-07-22 BUY  6 mit Preis: 31.30500030517578
2015-10-14 BUY  3 mit Preis: 27.552499771118164
2015-10-15 SELL 3 mit Preis: 27.96500015258789
2016-01-14 SELL 3 mit Preis: 24.8799991607666
2016-08-04 SELL 3 mit Preis: 26.467500686645508
2016-10-28 BUY  137 mit Preis: 28.43000030517578
2016-12-07 BUY  69 mit Preis: 27.75749969482422
2016-12-23 BUY  32 mit Preis: 29.1299991607666
